(0.666667,0),(-0.0833333,0),(-0.0833333,0),(0,0)
(-0.0833333,0),(0.5,0),(-0.166667,0),(-0.0833333,0)
(-0.0833333,0),(-0.166667,0),(0.5,0),(-0.0833333,0)
(0,0),(-0.0833333,0),(-0.0833333,0),(0.666667,0)
